epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,99.056,1.14279,2.19675,2.78468,0.00619,0.35727,0.00444,0.64516,0.45676,0.39266,0.00467,0.67742,0.45697,0.41191,0.94212,1.8406,4.49112,0.01271,0,0.000503808,0.000503808,0.000503808
50,101.071,1.05179,1.43896,3.30148,0.0077,0.7524,0.00444,0.64516,0.45736,0.39198,0.00467,0.67742,0.45757,0.41674,0.93115,1.8624,4.45488,0.01144,0,0.000504602,0.000504602,0.000504602
51,103.127,1.01801,1.69127,2.87546,0.00638,0.3961,0.00444,0.64516,0.45736,0.4301,0.00467,0.67742,0.45756,0.43885,0.79902,1.82728,4.38982,0.00648,0,0.000505,0.000505,0.000505
52,105.171,1.04916,1.53881,2.77299,0.00601,0.42495,0.00444,0.64516,0.45734,0.42058,0.00467,0.67742,0.45755,0.4386,0.82069,1.78292,4.37228,0.00733,0,0.000505002,0.000505002,0.000505002
53,107.123,0.96831,1.63738,2.60671,0.00524,0.40885,0.00444,0.64516,0.45762,0.41892,0.00467,0.67742,0.45777,0.42916,0.88809,1.85972,4.33184,0.01119,0,0.000504608,0.000504608,0.000504608
54,109.047,1.10845,1.95586,2.65574,0.00613,0.32867,0.00444,0.64516,0.46489,0.42378,0.00467,0.67742,0.46505,0.44704,0.89168,1.86722,4.2892,0.01172,0,0.000503818,0.000503818,0.000503818
55,110.98,1.00117,1.66277,2.55399,0.00527,0.3952,0.00444,0.64516,0.46597,0.43067,0.00467,0.67742,0.4661,0.45794,0.85089,1.78445,4.23432,0.00829,0,0.000502632,0.000502632,0.000502632
56,112.964,0.99881,1.8645,2.7152,0.00621,0.41149,0.00467,0.67742,0.47599,0.45492,0.00467,0.67742,0.47982,0.47066,0.79119,1.70488,4.1751,0.00705,0,0.00050105,0.00050105,0.00050105
57,114.938,1.07791,1.77561,2.47397,0.00545,0.34646,0.00597,0.60791,0.47096,0.42863,0.00566,0.57565,0.47576,0.45531,0.89657,1.62791,4.1584,0.00889,0,0.000499072,0.000499072,0.000499072
58,116.918,1.04912,1.57358,2.74622,0.00652,0.51235,0.00536,0.67742,0.47219,0.42372,0.00536,0.67742,0.47757,0.44968,0.9072,1.56572,4.18772,0.00844,0,0.000496698,0.000496698,0.000496698
59,118.989,1.02171,1.43852,2.6863,0.00596,0.37605,0.00467,0.67742,0.47814,0.4402,0.00489,0.70968,0.48189,0.45548,0.84552,1.59702,4.21796,0.00889,0,0.000493928,0.000493928,0.000493928
60,120.948,1.01723,1.83,2.55534,0.0056,0.4162,0.00467,0.67742,0.48189,0.45444,0.00489,0.70968,0.48469,0.45826,0.79726,1.54242,4.19218,0.00787,0,0.000490762,0.000490762,0.000490762
61,122.894,1.00903,1.88219,2.51506,0.0057,0.44779,0.00467,0.67742,0.48626,0.46288,0.00489,0.70968,0.48868,0.45852,0.78289,1.5754,4.19762,0.00677,0,0.0004872,0.0004872,0.0004872
62,124.999,1.03387,1.80138,2.60131,0.00513,0.38836,0.00508,0.51613,0.48125,0.44769,0.0054,0.54839,0.48631,0.45924,0.81766,1.52639,4.1816,0.00689,0,0.000483242,0.000483242,0.000483242
63,127.001,1.04389,1.53374,2.42161,0.00523,0.39011,0.02195,0.48387,0.48125,0.45041,0.02487,0.54839,0.48566,0.46817,0.80043,1.54712,4.15644,0.00753,0,0.000478888,0.000478888,0.000478888
64,128.975,0.99958,1.62974,2.46278,0.0065,0.31974,0.60398,0.48387,0.46102,0.4393,0.60398,0.48387,0.46828,0.44694,0.73883,1.54921,4.14262,0.00585,0,0.000474138,0.000474138,0.000474138
65,130.93,0.91257,1.69691,2.38084,0.00522,0.32462,0.68677,0.48387,0.46447,0.42662,0.68677,0.48387,0.47099,0.43713,0.798,1.50822,4.15282,0.00792,0,0.000468992,0.000468992,0.000468992
66,132.93,1.10651,1.28599,2.38688,0.0064,0.51383,0.84759,0.41935,0.46876,0.41885,0.84759,0.41935,0.47489,0.44755,0.85318,1.49245,4.1199,0.01004,0,0.00046345,0.00046345,0.00046345
67,134.907,1.17634,1.62339,2.54853,0.00719,0.50627,1,0.19038,0.46938,0.42592,1,0.19038,0.47507,0.45624,0.82569,1.47295,4.09442,0.0079,0,0.000457512,0.000457512,0.000457512
68,136.959,1.04422,1.48336,2.42854,0.00596,0.45737,1,0.29533,0.48302,0.41632,1,0.29533,0.48563,0.46918,0.88954,1.4509,4.10448,0.01142,0,0.000451178,0.000451178,0.000451178
69,138.964,1.12263,1.68704,2.17708,0.00597,0.32738,1,0.31616,0.49806,0.43032,1,0.31616,0.50124,0.47278,0.93135,1.41928,4.01415,0.01303,0,0.000444448,0.000444448,0.000444448
70,140.896,1.06005,1.50937,2.32277,0.00629,0.35282,1,0.36742,0.50106,0.467,1,0.36742,0.50345,0.47322,0.82048,1.40425,3.93362,0.00961,0,0.000437322,0.000437322,0.000437322
71,142.861,1.02259,1.53593,2.19312,0.00549,0.25459,1,0.36388,0.51018,0.481,1,0.36388,0.51232,0.49058,0.76171,1.38877,3.84364,0.00636,0,0.0004298,0.0004298,0.0004298
72,144.855,1.03921,1.62143,2.16961,0.00592,0.4437,1,0.38437,0.52115,0.48011,1,0.38437,0.52245,0.48937,0.81876,1.3122,3.82537,0.00887,0,0.000421882,0.000421882,0.000421882
73,146.864,1.02772,1.84157,2.17348,0.0051,0.32378,1,0.27344,0.54501,0.5033,1,0.27344,0.53827,0.50647,0.77822,1.25869,3.77257,0.00671,0,0.000413568,0.000413568,0.000413568
74,148.837,1.07028,1.61058,2.2986,0.00597,0.34968,1,0.18716,0.56748,0.50972,1,0.18716,0.55171,0.52155,0.81312,1.30937,3.73042,0.00716,0,0.000404858,0.000404858,0.000404858
75,150.791,0.9736,1.53335,2.2623,0.00532,0.3069,1,0.19791,0.57231,0.49844,1,0.19791,0.55446,0.52517,0.90104,1.23714,3.72429,0.01089,0,0.000395752,0.000395752,0.000395752
76,152.789,1.10563,1.60918,2.17402,0.00648,0.34093,1,0.21049,0.56845,0.49757,1,0.21049,0.55022,0.52275,0.9355,1.26647,3.67676,0.01086,0,0.00038625,0.00038625,0.00038625
77,154.792,1.01969,1.37396,2.09792,0.00552,0.27843,1,0.20585,0.55762,0.50696,1,0.20585,0.54099,0.51393,0.81483,1.2593,3.62,0.00639,0,0.000376352,0.000376352,0.000376352
78,156.789,0.9101,1.28502,1.917,0.00424,0.28787,1,0.18123,0.54971,0.50078,1,0.18123,0.53351,0.49244,0.8032,1.35841,3.62208,0.00804,0,0.000366058,0.000366058,0.000366058
79,158.773,1.01852,1.57858,2.15669,0.00559,0.31491,1,0.30849,0.54711,0.49365,1,0.30849,0.53205,0.47095,0.82279,1.35367,3.58308,0.00962,0,0.000355368,0.000355368,0.000355368
80,160.736,1.21263,1.8192,2.40133,0.00756,0.42796,1,0.34535,0.54039,0.49317,1,0.34535,0.52583,0.48589,0.80818,1.4367,3.55433,0.00929,0,0.000344282,0.000344282,0.000344282
81,162.744,0.84894,1.23061,2.04387,0.00525,0.28721,1,0.3752,0.53953,0.4982,1,0.3752,0.52473,0.49917,0.72938,1.48067,3.51399,0.00628,0,0.0003328,0.0003328,0.0003328
